Recurso,Simulado
116627 - COMP. NAVAL SOMASSOALHO 3890 X 1695 X 20MM,0
116615 - COMP. NAVAL SOMASSOALHO 3870 X 450 X 20MM,0
116623 - COMP. NAVAL SOMASSOALHO 1790X 450 X 20MM,0
534437 - CERAMICA ROYTOOLS CÓD WELLE 8656,0
240474 - CIL. COMPL. CBHM/CBH CÓD.4403-01,0
"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",0
134077 - TUBO     2           DIN 2440,0
221193 - LUVA DE UNIAO GALV. DE 2,0
"112410 - ACO TREF. RED. SAE-1045 - 3/4""",0
"112502 - ACO TREF. RED. SAE-1020 - 2""",0
116617 - COMP. NAVAL SOMASSOALHO 3890 X 1795 X 20MM,0
116626 - COMP. NAVAL FILM 2L 3070 X 450 X 20MM,0
116635 - COMP. NAVAL FILM 2L 1790 X 600 X 20MM,0
116633 - COMP. NAVAL FILM 2L 1790X 450 X 20MM,0
116641 - COMP. NAVAL FILM 2L 3090 X 1695 X 20MM,0
116630 - COMP. NAVAL FILM 2L 3870 X 600 X 20MM,0
116628 - COMP. NAVAL FILM 2L 3890 X 1695 X 20MM,0
116625 - COMP. NAVAL FILM 2L 3870 X 450 X 20MM,0
"126299 - AÇO CHATO LAM 5/16 X 2"" SAE-5160",0
126329 - AÇO CHATO LAM 5/8 X 1.1/2 SAE-1020,0
130552 - CANTONEIRA   3/16 X 2     1020,0
130631 - CANTONEIRA   1/4  X 3         1020,0
"134031NAC - TUBO QUADRADO 100,00 X 100,00 X 6.3MM",0
"134172 - TUBO SCHEDULLE 80 - 1"" S/C",0
134223 - TUBO MECANICO  71 X  54  ST-52,0
134789 - TUBO MECANICO 131 X 105 ST-52,0
"134892 - TUBO SCHEDULLE 80 - 3.1/2""",0
134910 - TUBO SCHEDULLE 40 - 1/4,0
200391 - KIT BOMBA MULTI-FLEX SEMI-COMPLETO (SEM GAIOLA),0
209911 - ENGATE RÁPIDO C2 COM ESCAMA 050030005,0
"212097 - ARRUELA LISA 5/8"" GALV # 1/8""",0
"212404 - ARR. DE PRES. MÉDIA - ZB 5/8""",0
"212600 - ARR. DE PRES. MÉDIA - ZB 3/8""",0
"213355 - COTOVELO 90° FG 2""",0
"213356 - ADAPTADOR SIMPLES RANHURA DUPLA 2""",0
213602 - ABRACADEIRA P/ MANGOTE MS 5462,0
216537 - BORRACHA VEDAÇÃO CÓD. 84601-01,0
"222057 - GRAMPO 1/2""x55x110-B P/ FXS.",0
"222058 - GRAMPO 1/2""x55x155-B P/ FXS.",0
222100 - CONTRA PINO  5/32 X 1.1/2,0
"222217 - PINO TRAVA BUSSAL 3/8 X 2.1/4"" C/ARGOLA",0
238260 - MOLA TRAVA IÇAM. FA/FP/C,0
240084 - TEE C/PORCA ANILHA 3/4 16F UNF,0
"240233 - MANG A/P SAE-100 3/8"" X 400 TERM. 90° JIC 3/4""FEMEA X RETO JIC 3/4"" UNF FEMEA",0
240471 - CILINDRO TELESCÓPICO CBH 6T 10 OC NV,0
240485 - CIL. COMPL. CBHM / 6000 CÓD.4403-03,0
258003 - PARAF SEX   3/8 X 1.1/4   UNC ZB,0
258192 - PARAF SEX   3/4 X 2  8.8 UNF ZB,0
258570 - PARAF SEX   3/8 X 2        UNC,0
"258820 - PARAF SEX  1/2"" X 4.1/2""  8.8 UNF",0
260137 - PARAF SEX   5/8 X 2.1/4    UNC,0
260629 - PARAF SEX   5/8 X1.1/2 8.8 NC ZB,0
260988 - PARAF SEX   5/8 X 1.3/4  UNC ZB,0
274057 - PORCA SEX     1/2   UNF  ZB,0
"274306 - PORCA SEX     5/8""  UNC  ZB",0
"275098 - PORCA  A/T. NY  3/4"" ALTA UNF-ZB",0
"279419 - PORCA  DUPLA DE 1/2""  UNF - ZB",0
"292023 - LUVA SIMPLES GALV 2"" BSP",0
"292205 - VALVULA DE GAVETA 1.1/2""",0
"292254 - VALVULA DE GAVETA 2""",0
318419 - TINTA PÓ 26 R LI AZUL CEMAG BR CÓD. WEG CDP 13505,0
326409 - VERNIZ SINTÉTICO - TINGIDO,0
"222434 - AÇO MT 50.8 CROMADO SAE 1045 NORMAL 2"" - CBH/CBHM 5t / 7t",0
"222433 - TUBO TCH 114,30 X 101,60 X 06 ST52 IMP BRUN 4 C/PROTEÇÃO - CBH/CBHM 5t / 7t",0
CHAPA -  6.00 - CHAPA LQ 6.00,0
CHAPA -  6.30 - CHAPA LQ 6.30,0
CHAPA -  2.25 - CHAPA LQ 2.25,0
CHAPA -  3.00 - CHAPA LQ 3.00,0
CHAPA -  4.75 - CHAPA LQ 4.75,0
CHAPA -  2.00 - CHAPA LQ 2.00,0
CHAPA -  2.65 - CHAPA LQ 2.65,0
CHAPA -  3.75 - CHAPA LQ 3.75,0
120134IMP - BOBINA CHAPA LQ 2.00 X 1200 A36/CIVIL300 IMP,0
120136IMP - BOBINA CHAPA LQ 2.25 X 1200 A36/CIVIL300 IMP,0
120549IMP - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 IMP,0
120547IMP - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 IMP,0
120278IMP - BOBINA CHAPA LQ 3.75 X 1200 A36/CIVIL300 IMP,0
"120305IMP - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 IMP",0
120201IMP - BOBINA CHAPA LQ 6.00 X 1200 SAE1010,0
120545IMP - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300,0
120845 - CHAPA 1/4 (6.35) INOX-304,0
"120509 - CHAPA GQ   3/4 (19,0)     1010",0
"120376 - CHAPA GQ 1"" (25,4) 1010/1020",0
110140 - ACO LAMINADO RED 4          1020,0
"110517 - AÇO REDONDO LAMINADO 5"" 1045",0
"134690 - TUBO AÇO INOX 316 - 48,26MM X 5.08MM",0
134339 - TUBO MECANICO  63 X  33  ST-52,0
"113049 - ACO TREF. RED. SAE-1045 - 1.1/2""",0
110516 - ACO LAMINADO RED 4.1/2    1045,0
110048 - ACO LAMINADO RED 2.1/2    1020,0
110670 - ACO LAMINADO RED 3          1045,0
110565 - ACO LAMINADO RED 3.1/2    1045,0
110139 - ACO LAMINADO RED 4          1045,0
110735 - ACO LAMINADO RED 4.1/2    1020,0
110747 - AÇO LAMINADO RED 5          1020,0
"112874 - ACO RED INOX 304 DE 1.1/2""",0
"113050 - ACO TREF. RED. SAE-1020 - 1.1/2""",0
"112604 - ACO TREF. RED. SAE-1045 - 1/2""",0
"112902 - ACO TREF. RED. SAE-1045 - 7/8""",0
134156 - TUBO MECANICO  43 X  30  ST-52,0
134196 - TUBO MECANICO  87 X 66 ST-52,0
134790 - TUBO MECANICO 100 X  56  ST-52,0
134651 - TUBO MECANICO 112 X 66   ST-52,0
"134016 - TUBO QDR    70,00 X 4,75",0
134018 - TUBO RETANGULAR 180 X 80 X 6.35 X 6000,0
134019NAC - TUBO RETANGULAR 200 X 100 X 6.35,0
"134118 - TUBO SCHEDULLE 80 - 3/8"" 5000",0
260400 - PARAF SEX   5/8 X 1.3/4 8.8UNF ZB,0
"214116 - ARO AVULSO R16"" x 5,5",0
"214113 - ARO AG 15.5"" DC13"" X 15.5"" OFFSET49,4MM",0
"212102 - ARRUELA LISA 1.1/4"" GALV. 1/8"" ESPESSURA",0
"274151 - PORCA SEXTAVADA 1.1/4"" UNF 8.8",0
222438 - AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CBH 6t/CBHM CAFEEIRA,0
222466 - AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CTH4500,0
"240461 - ADAPTADOR 3/4""-16 PTT-30°",0
210019 - ANEL GUIA MOLYGARD 6W2-2612-500,0
210013 - ANEL GUIA MOLYGARD W2-2250-500 (REF. PARKER),0
210158 - ANEL O-RING 2-342,0
210027 - ANEL O'RING 2-026,0
210028 - ANEL O'RING 2-029,0
210026 - ANEL O'RING 2-045 (USAR PARKER),0
210029 - ANEL O'RING 2-047 (USAR PARKER),0
210011 - ANEL O'RING 2-244,0
210160 - ANEL RASPADOR     REF D-2000,0
210161 - ANEL RASPADOR D-2375,0
"212098 - ARRUELA LISA 1/4"" GALV",0
212103 - ARRUELA LISA 30MM GALV.,0
"222114 - BARRA ROSC FERRO GALV. 5/8"" X 1MT",0
222074 - BLOCO DE CONTROLE CÓD. HFB110831 (COM 01 VÁLVULA ELÉTRICA E 01 VÁLVULA MANUAL),0
222452 - CABEÇOTE GUIA C/ VED. CN.080XH.060,0
218250 - CÂMARA FM 15.5 TR15,0
200497 - CHAPA UHMW 4 X 80 X 200 [CTH4500],0
200492 - CHAPA UHMW 5 X 80 X 130 [CTH4500],0
222416 - CILINDRO TEL. CBH 8T 19 OC,0
222464 - DISTANCIADOR H060,0
222453 - EMBOLO C/ VED. CN 080-080x030x050,0
222454 - FUNDO CN.080 080x095x012 FD,0
292291 - GAX MOLYTH REF 25002000375,0
292448 - GAX MOLYTH REF 37503250    MAI,0
292048 - GAXETA MOLYTHANE POLYPAK STD 37503750,0
292292 - GAXETA MOLYTHANE POLYPAK TIPO B 25002375-375 B,0
240491 - MACACO MOD. RAL-329 DIST. CALCÁRIO,0
"240248 - MANG. A/P 3/8""x 700MM TERM. RETO/90º JIC 3/4""",0
222455 - OLHAL TUBULAR 063X040X100,0
256020 - PARAF FRANC 1/2 X 1.1/2 GALV,0
260526 - PARAF SEX   1/2 X 4 - UNC,0
258210 - PARAF SEX   3/4 X 1.1/2    UNC ZB,0
258910 - PARAF SEX   3/4 X 3  UNC ZB,0
260812 - PARAF SEX   5/16X 1/2    UNC,0
258091 - PARAF SEX   5/16X 3/4    UNC 8.8 ZB,0
"257135 - PARAFUSO FENDA CABEÇA CHATA 1/4"" X 1.1/4"" UNC",0
"258236 - PARAFUSO SEXTAVADO 3/4"" X 2.1/2"" UNC",0
"259219 - PARAFUSO SEXTAVADO G5 (8.8) 5/16"" X 4"" UNC",0
222264 - PINO DE PRESSAO 6 X32,0
268502 - PNEU 400/60-15.5 SMHF I3 14L S/C,0
222456 - PORCA AUTO TRAVANTE MÉTRICA ALTA M30X2,0
"274288 - PORCA SEX     5/8""  UNF  ZB",0
"274964 - PORCA SEXTAVADA G5 1.1/2"" UNF",0
289218 - ROLAMENTO REF 51104 - 2ª. LINHA,0
"292242 - TAMPAO PVC 2""",0
240302 - TERM RETO FEMEA JIC MANG 3/8 X 3/4,0
222459 - TOMADA DE OLEO 1/2 BSP,0
222461 - TOMADA DE OLEO 1/2 BSP-H18,0
222457 - TOMADA DE OLEO TB LIG16H30,0
222463 - TUBO TCH 095x080x07.5 BRUNIDO C/ PROTEÇÃO - CTH4500,0
"222435 - TUBO TCH 127.00 X 114.30 X 06.35 ST52 BRUN 4.1/2"" C/ PROTEÇÃO - CBH 6t/CBHM CAFEEIRA",0
222462 - TUBO TLH 016X2 USINADO,0
240260 - UNIÃO MACHO JIC 3/4 X 1/2 BSP,0
398041 - KIT ADESIVO CAFEEIRA CBHM5000,0
398043 - KIT ADESIVO CAFEEIRA CBHM6000,0
398042 - KIT ADESIVO CAFEEIRA CBHM4500,0
398045 - KIT ADESIVO FORRAGEIRA CBHM8000,0
398031 - KIT ADESIVO FORRAGEIRA CBH6,0
398053 - KIT ADESIVO BASICA FA2 METALICA,0
398052 - KIT ADESIVO BASICA FA4 FB - FA6 FIXA - F6B - F6C - FA2A,0
398049 - KIT ADESIVO BASICA FA5 METALICA,0
398030 - KIT ADESIVO FORRAGEIRA CBH5,0
398037 - KIT ADESIVO FORRAGEIRA CBH6-2E,0
398036 - KIT ADESIVO FORRAGEIRA CBH6R,0
398033 - KIT ADESIVO FORRAGEIRA CBH7,0
398040 - KIT ADESIVO GRANELEIRA CBHM5000,0
