produto,grupo
240494 - GANCHO C/ REBAIXO P/ F.RÁPIDO CÓD.ESP482,
240492 - FECHO RÁP. P/CARR. LD CÓD.ESP481D,
240642 - GANCHO MENOR P/ F.RÁPIDO CÓD.FT 0040-C,
534437 - CERAMICA ROYTOOLS CÓD WELLE 8656,
134066 - TUBO RET  50 X 30 X 2.00MM TAM. 5 METROS,Tubos
134060 - TUBO RET  50 X 30 X 2.00MM TAM. 6 METROS,Tubos
134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000,Tubos
240474 - CIL. COMPL. CBHM/CBH CÓD.4403-01,Cilindro
"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",Chapas
"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",Chapas
124576 - ACO TREFILADO QDR   3/8   1045,Aços
134055NAC - TUBO QUADRADO 120 X 120 X 8.00,Tubos
134077 - TUBO     2           DIN 2440,Tubos
221193 - LUVA DE UNIAO GALV. DE 2,
"274252 - PORCA SEX    5/16""  UNC  ZB",
110322 - ACO LAMINADO RED 1.3/4    1020,Aços
110346 - ACO LAMINADO RED 2        1020,Aços
110358 - ACO LAMINADO RED 2        1045,Aços
110980 - ACO LAMINADO RED 1.3/4    1045,Aços
"112215 - ACO TREF. RED. SAE-1020 - 1""",Aços
"112306 - ACO TREF. RED. SAE-1045 - 1.1/4""",Aços
"112410 - ACO TREF. RED. SAE-1045 - 3/4""",Aços
"112434 - ACO TREF. RED. SAE-1020 - 3/4""",Aços
"112458 - ACO TREF. RED. SAE-1020 - 3/8""",Aços
"112502 - ACO TREF. RED. SAE-1020 - 2""",Aços
116611 - COMP. NAVAL SOMASSOALHO 3090 X 1795 X 20MM,Comp Naval
116613 - COMP. NAVAL SOMASSOALHO 1890X 450 X 20MM,Comp Naval
116617 - COMP. NAVAL SOMASSOALHO 3890 X 1795 X 20MM,Comp Naval
116626 - COMP. NAVAL FILM 2L 3070 X 450 X 20MM,Comp Naval
116635 - COMP. NAVAL FILM 2L 1790 X 600 X 20MM,Comp Naval
116633 - COMP. NAVAL FILM 2L 1790X 450 X 20MM,Comp Naval
116641 - COMP. NAVAL FILM 2L 3090 X 1695 X 20MM,Comp Naval
116630 - COMP. NAVAL FILM 2L 3870 X 600 X 20MM,Comp Naval
116628 - COMP. NAVAL FILM 2L 3890 X 1695 X 20MM,Comp Naval
116625 - COMP. NAVAL FILM 2L 3870 X 450 X 20MM,Comp Naval
"120054 - CHAPA GQ 5/8 (15,8) A36/CIVIL300",Chapas
"120121 - CHAPA FF #18   (1,21)     1010",Chapas
"120250 - CHAPA #11(3,04) A36/CIVIL300",Chapas
"120273 - CHAPA FQ  3,75mm. SAE-1006",Chapas
"120352 - CHAPA GQ 1/2 (12,7) A36/CIVIL300",Chapas
120549 - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300,Chapas
